1,2,3,4
5,6,7,8
5,9,8,7
10,11,12,13
14,9,15,16
14,16,15,17
14,5,15,9
9,5,15,7
16,18,19,17
16,19,15,17
18,20,19,17
20,12,21,11
12,10,21,11
20,21,12,18
18,21,19,20
8,22,6,7
8,23,6,22
24,23,25,6
24,26,27,25
23,22,25,6
25,26,23,24
28,29,30,31
31,28,32,30
29,11,33,13
10,13,33,11
31,33,29,30
29,13,33,31
1,34,4,3
34,4,35,36
4,34,35,3
37,36,38,35
34,38,36,35
37,39,38,36
3,40,34,35
41,42,40,43
3,44,40,35
1,34,40,42
41,1,40,42
1,40,34,3
1,3,2,40
41,1,2,40
41,2,45,46
3,40,46,2
41,40,2,46
41,45,43,46
41,40,46,43
45,47,43,48
43,47,49,48
45,48,43,46
47,50,49,51
47,51,49,48
3,40,52,46
3,44,52,40
32,30,28,53
32,54,53,55
55,32,28,53
27,56,57,26
26,25,57,27
27,56,58,57
22,6,59,25
7,60,59,15
6,5,59,61
22,59,6,7
7,62,59,60
22,7,62,59
14,5,59,15
7,5,15,59
5,6,59,7
5,14,59,61
24,6,25,59
6,61,59,24
61,63,64,65
59,14,15,63
61,14,63,17
17,19,15,63
17,63,61,65
14,17,15,63
61,59,63,14
20,11,66,65
63,17,66,65
20,21,66,11
67,10,33,66
11,29,66,65
20,17,65,66
21,66,19,20
11,29,33,66
67,21,10,66
17,20,19,66
21,10,66,11
66,63,19,17
10,11,33,66
68,15,19,63
68,63,59,15
66,68,19,63
68,15,59,60
68,15,69,19
68,15,60,69
68,19,69,66
70,19,66,69
66,21,19,70
21,67,70,66
58,64,27,71
27,58,71,57
59,63,71,61
27,24,71,64
61,71,64,63
24,61,71,64
24,59,71,61
72,71,24,59
72,22,59,25
71,57,72,27
72,25,59,24
57,25,72,27
24,25,27,72
71,24,27,72
22,59,62,72
25,73,72,22
73,22,62,72
63,66,74,65
65,63,64,74
28,29,74,30
55,28,74,53
28,29,65,74
33,30,74,29
55,65,64,74
30,53,74,28
28,55,74,65
65,29,66,74
33,29,74,66
58,75,76,77
58,76,56,77
56,57,76,58
57,58,71,76
77,75,78,54
77,75,76,78
75,55,78,54
54,78,53,55
68,69,60,79
72,80,73,25
80,72,57,25
81,30,53,82
82,81,30,83
82,30,53,74
83,82,33,30
30,82,33,74
82,74,84,33
33,74,84,66
67,33,84,66
83,82,84,33
67,70,66,84
83,85,84,82
82,83,86,81
86,83,82,85
81,53,87,82
53,82,74,87
81,86,82,88
81,82,87,88
34,38,35,89
89,34,40,35
38,34,42,89
37,38,89,35
44,89,40,35
42,89,34,40
44,35,90,89
35,37,90,89
37,39,91,38
37,91,90,89
37,38,91,89
92,93,39,91
92,39,38,91
92,38,89,91
93,92,94,91
42,95,38,89
92,38,95,89
93,96,97,94
96,93,92,94
96,97,94,98
99,100,101,102
100,103,97,98
95,42,104,89
42,89,40,104
42,43,104,40
105,49,50,106
107,105,106,104
105,108,106,50
105,49,106,104
107,101,104,106
109,50,51,106
107,105,108,106
50,49,51,106
108,109,106,50
110,49,106,51
43,49,110,48
49,104,110,106
48,46,110,43
51,110,49,48
49,43,110,104
40,46,43,110
43,104,40,110
44,111,112,90
89,44,112,90
44,52,112,111
40,89,44,112
52,40,44,112
112,40,104,110
89,40,104,112
48,113,110,46
46,40,113,110
52,40,112,113
46,52,113,40
112,40,110,113
114,48,113,110
48,51,110,114
51,115,110,114
116,114,110,115
114,110,113,116
110,106,117,51
118,117,109,115
109,106,51,117
115,109,51,117
116,115,110,117
115,51,110,117
115,117,116,118
99,102,101,119
107,99,119,108
101,107,99,119
107,101,106,119
107,106,108,119
106,108,120,109
120,99,108,119
106,109,120,117
119,102,120,99
106,119,117,120
120,106,119,108
118,117,121,109
121,109,117,120
114,116,113,122
111,52,112,123
52,113,112,123
103,97,98,124
97,94,98,124
125,111,123,126
111,125,123,112
126,123,125,127
111,125,112,90
111,128,125,90
125,128,111,126
128,125,90,129
119,102,130,120
121,131,120,117
85,84,82,132
133,84,132,70
70,84,132,66
82,132,84,74
132,84,74,66
71,64,63,134
134,55,64,74
78,134,53,55
78,87,53,134
58,75,134,76
64,58,134,71
58,75,64,134
76,71,134,58
75,55,64,134
75,55,134,78
74,134,55,53
78,76,134,75
53,74,134,87
134,74,64,63
57,71,72,135
135,57,71,76
80,57,72,135
76,135,134,71
136,137,138,139
137,136,62,139
137,62,60,139
62,73,139,136
137,79,138,139
137,60,79,139
60,68,139,59
